Year,Country / territory of asylum/residence,Location Name,Female 0-4,Female 5-11,Female 5-17,Female 12-17,Female 18-59,Female 60+,F: Unknown,F: Total,Male 0-4,Male 5-11,Male 5-17,Male 12-17,Male 18-59,Male 60+,M: Unknown,M: Total,Overall total
#date+year,#country+residence,#loc+name,#affected+f+children+age0_4,#affected+f+children+age5_11,#affected+f+children+age5_17,#affected+f+adolescents+age12_17,#affected+f+adults+age18_59,#affected+f+elderly+age60plus,#affected+f+other,#affected+f+total,#affected+m+children+age0_4,#affected+m+children+age5_11,#affected+m+children+age5_17,#affected+m+adolescents+age12_17,#affected+m+adults+age18_59,#affected+m+elderly+age60plus,#affected+m+other,#affected+m+total,#affected+all+total
2005,Rep. of Korea,Seoul,6,,2,,120,12,0,140,5,,3,,436,4,0,448,588
2006,Rep. of Korea,Seoul/Kyunggi,8,1,1,0,133,11,0,154,8,3,3,0,542,4,0,560,710
2007,Rep. of Korea,Seoul/Kyunggi Province,11,2,3,1,206,12,0,235,10,4,5,1,971,2,0,993,1220
2007,Rep. of Korea,Daejeon,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2
2007,Rep. of Korea,Daegu,0,0,0,0,7,0,0,7,1,0,0,0,39,0,0,40,47
2007,Rep. of Korea,Cheongju,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2007,Rep. of Korea,Busan,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3
2008,Rep. of Korea,Seoul/Kyunggi Province,8,9,11,2,226,14,,270,13,10,12,2,953,6,,996,1243
2008,Rep. of Korea,Suwon,,,0,,7,,,7,,,0,,34,2,,36,43
2008,Rep. of Korea,Pohang,,,0,,,,,0,,,0,,1,,,1,1
2008,Rep. of Korea,Masan,,,0,,,,,0,,,0,,6,,,6,6
2008,Rep. of Korea,Incheon,,1,1,,6,,,8,,,0,,26,,,26,33
2008,Rep. of Korea,Gwangju,,,0,,,,,0,,,0,,2,,,2,2
2008,Rep. of Korea,Euijeongbu,,,0,,1,,,1,,,0,,2,,,2,3
2008,Rep. of Korea,Daejeon,,,0,,1,1,,2,,1,1,,10,1,,13,14
2008,Rep. of Korea,Daegu,,,1,1,14,,,16,1,1,2,1,64,,,69,82
2008,Rep. of Korea,Cheongju,,,0,,,,,0,,,0,,4,,,4,4
2008,Rep. of Korea,Busan,,,0,,8,1,,9,,,0,,21,,,21,30
2009,Rep. of Korea,Whasung,0,0,0,0,3,1,0,4,0,0,0,0,5,0,0,5,9
2009,Rep. of Korea,Suwon,0,0,0,0,1,0,0,1,0,0,0,0,4,1,0,5,6
2009,Rep. of Korea,Seoul,12,6,6,0,112,1,0,137,14,7,9,2,369,5,0,406,528
2009,Rep. of Korea,Pohang,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2009,Rep. of Korea,Masan,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3
2009,Rep. of Korea,Incheon,0,1,1,0,2,0,0,4,0,0,0,0,12,0,0,12,15
2009,Rep. of Korea,Euijeongbu,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,2,3
2009,Rep. of Korea,Daejeon,0,0,0,0,1,1,0,2,0,0,0,0,5,1,0,6,8
2009,Rep. of Korea,Daegu,1,0,0,0,1,0,0,2,0,0,0,0,6,0,0,6,8
2009,Rep. of Korea,Cheongju,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3
2009,Rep. of Korea,Busan,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2010,Rep. of Korea,Inchon : Do - Province,0,1,,0,2,0,0,3,0,0,,0,15,0,0,15,18
2010,Rep. of Korea,Euijeongbu : Point,0,0,,0,1,0,0,1,0,0,,0,2,0,0,2,3
2010,Rep. of Korea,Whasung : Point,0,0,,0,3,1,0,4,0,0,,0,11,0,0,11,15
2010,Rep. of Korea,Suwon : Point,0,0,,0,0,0,0,0,0,0,,0,6,1,0,7,7
2010,Rep. of Korea,Seoul : Point,20,12,,1,134,2,0,169,20,10,,4,506,4,0,544,713
